note,updated,score,title,venue_old,venue_new
pending-ref-108-dimred-and-coranking-unifying-dimensionality-reduction-in.md,true,1.0,dimRed and coRanking—Unifying Dimensionality Reduction in R,UNKNOWN,The R Journal
pending-ref-111-the-art-of-seeing-the-elephant-in-the-room-2d-embeddings-o.md,false,1.0,The art of seeing the elephant in the room: 2D embeddings of single-cell data do make sense,UNKNOWN,
pending-ref-117-random-projection-for-high-dimensional-data-clustering-a-c.md,true,0.75,Random projection for high dimensional data clustering: A cluster ensemble approach,UNKNOWN,International Journal of Database Theory and Application
pending-ref-118-understanding-bias-in-perceiving-dimensionality-reduction.md,false,0.3,Understanding Bias in Perceiving Dimensionality Reduction Projections,UNKNOWN,
pending-ref-121-understanding-how-dimension-reduction-tools-work-an-empiri.md,false,0.3181818181818182,"Understanding How Dimension Reduction Tools Work: An Empirical Approach to Deciphering t-SNE, UMAP, TriMap, and PaCMAP for Data Visualization",UNKNOWN,
pending-ref-129-ens-t-sne-embedding-neighborhoods-simultaneously-t-sne.md,true,1.0,ENS-t-SNE: Embedding Neighborhoods Simultaneously t-SNE,UNKNOWN,2024 IEEE 17th Pacific Visualization Conference (PacificVis)
pending-ref-132-doubly-supervised-embedding-based-on-class-labels-and-intr.md,true,0.812,Doubly supervised embedding based on class labels and intrinsic clusters for highdimensional data visualization,UNKNOWN,Neurocomputing
pending-ref-145-deep-learning-multidimensional-projections.md,true,1.0,Deep learning multidimensional projections,UNKNOWN,Information Visualization
pending-ref-146-progressive-uniform-manifold-approximation-and-projection.md,false,0.833,Progressive Uniform Manifold Approximation and Projection,UNKNOWN,
pending-ref-161-steering-distortions-to-preserve-classes-and-neighbors-in.md,false,0.26666666666666666,Steering Distortions to Preserve Classes and Neighbors in Supervised Dimensionality Reduction,UNKNOWN,
pending-ref-164-neighborhoodpreserving-embedding.md,false,0.5,Neighborhoodpreserving embedding,UNKNOWN,
pending-ref-166-projection-ensemble-visualizing-the-robust-structures-of-m.md,true,1.0,Projection Ensemble: Visualizing the Robust Structures of Multidimensional Projections,UNKNOWN,2023 IEEE Visualization and Visual Analytics (VIS)
pending-ref-169-horopca-hyperbolic-dimensionality-reduction-via-horospheri.md,false,0.3333333333333333,HoroPCA: Hyperbolic Dimensionality Reduction via Horospherical Projections,UNKNOWN,
pending-ref-183-vizrank-data-visualization-guided-by-machine-learning.md,true,1.0,Vizrank: Data visualization guided by machine learning,UNKNOWN,Data Mining and Knowledge Discovery
pending-ref-184-principal-manifolds-and-nonlinear-dimensionality-reduction.md,true,0.833,Principal Manifolds and Nonlinear Dimensionality Reduction via Tangent Space Alignment SIAM J,UNKNOWN,Journal of Shanghai University (English Edition)
zadu-ref-02-1-s2-0-s0925231209000101-main.md,false,0.2727272727272727,doi:10.1016/j.neucom.2008.12.017,UNKNOWN,
zadu-ref-08-local-affine-multidimensional-projection-1.md,true,1.0,Local Affine Multidimensional Projection,UNKNOWN,IEEE Transactions on Visualization and Computer Graphics
zadu-ref-10-download-2.md,true,1.0,Quantifying the Neighborhood Preservation of Self-Organizing Feature Maps,UNKNOWN,IEEE Transactions on Neural Networks
zadu-ref-12-kruskal-1964a.md,true,1.0,Multidimensional scaling by optimizing goodness of fit to a nonmetric hypothesis,UNKNOWN,Psychometrika
zadu-ref-14-ref06-steering-distortions-to-preserve-classes-and-neighbors-in-supervised-dimen.md,false,0.23076923076923078,Steering Distortions to Preserve Classes and,UNKNOWN,
zadu-ref-17-ref13-stochastic-neighbor-embedding.md,true,0.75,Stochastic Neighbor Embedding,UNKNOWN,An Introduction to Spatial Data Science with GeoDa
zadu-ref-18-ref18-measuring-and-explaining-the-inter-cluster-reliability-of-multidimensional.md,true,1.0,Measuring and Explaining the Inter-Cluster Reliability  of Multidimensional Projections,UNKNOWN,IEEE Transactions on Visualization and Computer Graphics
